USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0 10879648 12484 0                   0 S init
root             2     0       0      0 0                   0 S [kthreadd]
root             3     2       0      0 0                   0 I [rcu_gp]
root             4     2       0      0 0                   0 I [rcu_par_gp]
root             5     2       0      0 0                   0 I [kworker/0:0-events]
root             6     2       0      0 0                   0 I [kworker/0:0H-kblockd]
root             7     2       0      0 0                   0 I [kworker/u8:0-trusty-check-wq]
root             8     2       0      0 0                   0 I [mm_percpu_wq]
root             9     2       0      0 0                   0 S [ksoftirqd/0]
root            10     2       0      0 0                   0 I [rcu_preempt]
root            11     2       0      0 0                   0 I [rcu_sched]
root            12     2       0      0 0                   0 I [rcu_bh]
root            13     2       0      0 0                   0 S [migration/0]
root            14     2       0      0 0                   0 S [cpuhp/0]
root            15     2       0      0 0                   0 S [cpuhp/1]
root            16     2       0      0 0                   0 S [migration/1]
root            17     2       0      0 0                   0 S [ksoftirqd/1]
root            18     2       0      0 0                   0 I [kworker/1:0-events]
root            19     2       0      0 0                   0 I [kworker/1:0H-kblockd]
root            20     2       0      0 0                   0 S [cpuhp/2]
root            21     2       0      0 0                   0 S [migration/2]
root            22     2       0      0 0                   0 S [ksoftirqd/2]
root            23     2       0      0 0                   0 I [kworker/2:0-pm]
root            24     2       0      0 0                   0 I [kworker/2:0H-kblockd]
root            25     2       0      0 0                   0 S [cpuhp/3]
root            26     2       0      0 0                   0 S [migration/3]
root            27     2       0      0 0                   0 S [ksoftirqd/3]
root            28     2       0      0 0                   0 I [kworker/3:0-events]
root            29     2       0      0 0                   0 I [kworker/3:0H-kblockd]
root            30     2       0      0 0                   0 I [netns]
root            31     2       0      0 0                   0 S [rcu_tasks_kthre]
root            32     2       0      0 0                   0 S [kauditd]
root            33     2       0      0 0                   0 I [kworker/0:1-events]
root            34     2       0      0 0                   0 S [khungtaskd]
root            35     2       0      0 0                   0 S [oom_reaper]
root            36     2       0      0 0                   0 I [writeback]
root            37     2       0      0 0                   0 S [kcompactd0]
root            38     2       0      0 0                   0 S [khugepaged]
root            39     2       0      0 0                   0 I [crypto]
root            40     2       0      0 0                   0 I [kblockd]
root            41     2       0      0 0                   0 I [kworker/u9:0-f2fs_post_read_wq]
root            42     2       0      0 0                   0 I [blk_crypto_wq]
root            43     2       0      0 0                   0 I [ata_sff]
root            44     2       0      0 0                   0 I [devfreq_wq]
root            45     2       0      0 0                   0 S [watchdogd]
root            46     2       0      0 0                   0 I [kworker/u8:1-adb]
root            47     2       0      0 0                   0 I [cfg80211]
root            53     2       0      0 0                   0 I [kworker/2:1-events]
root            66     2       0      0 0                   0 S [kswapd0]
root            67     2       0      0 0                   0 I [cifsiod]
root            68     2       0      0 0                   0 I [cifsoplockd]
root           107     2       0      0 0                   0 I [kworker/1:1-events]
root           115     2       0      0 0                   0 I [kworker/u8:2-adb]
root           116     2       0      0 0                   0 S [khvcd]
root           118     2       0      0 0                   0 I [kworker/3:1-events]
root           119     2       0      0 0                   0 I [kworker/0:1H-kblockd]
root           120     2       0      0 0                   0 S [i915/signal:0]
root           121     2       0      0 0                   0 S [i915/signal:1]
root           122     2       0      0 0                   0 S [i915/signal:2]
root           123     2       0      0 0                   0 S [i915/signal:6]
root           124     2       0      0 0                   0 I [kworker/0:2-events]
root           125     2       0      0 0                   0 I [kworker/0:3-events]
root           126     2       0      0 0                   0 I [kworker/u8:3-trusty-check-wq]
root           127     2       0      0 0                   0 I [kworker/2:2-pm]
root           128     2       0      0 0                   0 I [kworker/2:3-pm]
root           129     2       0      0 0                   0 I [kworker/3:2-pm]
root           130     2       0      0 0                   0 S [spi1]
root           131     2       0      0 0                   0 S [spi2]
root           132     2       0      0 0                   0 I [kworker/2:4-events]
root           133     2       0      0 0                   0 S [spi3]
root           134     2       0      0 0                   0 I [kworker/2:5]
root           135     2       0      0 0                   0 I [nvme-wq]
root           136     2       0      0 0                   0 I [nvme-reset-wq]
root           137     2       0      0 0                   0 I [nvme-delete-wq]
root           138     2       0      0 0                   0 I [dm_bufio_cache]
root           139     2       0      0 0                   0 S [ion_system_heap]
root           140     2       0      0 0                   0 I [kworker/1:2-events]
root           141     2       0      0 0                   0 I [ipv6_addrconf]
root           164     2       0      0 0                   0 I [kworker/1:3-events]
root           165     2       0      0 0                   0 I [kworker/2:1H-kblockd]
root           168     2       0      0 0                   0 S [jbd2/vda12-8]
root           169     2       0      0 0                   0 I [ext4-rsv-conver]
root           170     2       0      0 0                   0 I [kdmflush]
root           171     2       0      0 0                   0 I [kdmflush]
root           172     2       0      0 0                   0 I [kdmflush]
root           173     2       0      0 0                   0 I [kdmflush]
root           174     2       0      0 0                   0 I [kdmflush]
root           175     2       0      0 0                   0 I [kdmflush]
root           176     2       0      0 0                   0 I [kdmflush]
root           177     2       0      0 0                   0 I [kverityd]
root           178     2       0      0 0                   0 I [kworker/1:1H-events_highpri]
root           179     2       0      0 0                   0 I [ext4-rsv-conver]
root           180     2       0      0 0                   0 I [kworker/u8:4-adb]
root           181     2       0      0 0                   0 I [kdmflush]
root           182     2       0      0 0                   0 I [kverityd]
root           183     2       0      0 0                   0 I [ext4-rsv-conver]
root           184     2       0      0 0                   0 I [kdmflush]
root           185     2       0      0 0                   0 I [kverityd]
root           186     2       0      0 0                   0 I [ext4-rsv-conver]
root           188     1 10846768  7940 0                   0 S init
root           189     1 10770776  8580 0                   0 S ueventd
logd           223     1 10780020  8112 0                   0 S logd
lmkd           224     1 10844084  2600 0                   0 S lmkd
system         225     1 10943172  5808 0                   0 S servicemanager
system         227     1 10834236  7128 0                   0 S hwservicemanager
system         228     1 10828276  4896 0                   0 S vndservicemanager
keystore       229     1 11049632 15844 0                   0 S keystore2
root           230     2       0      0 0                   0 S [psimon]
root           239     2       0      0 0                   0 I [kworker/3:1H-kblockd]
root           248     2       0      0 0                   0 I [ti949_errata_ap]
root           249     2       0      0 0                   0 S [irq/143-TI949_I]
nobody         258     1 10882184  7288 0                   0 S android.hardware.keymaster@3.0-service
root           264     1 10867312  9632 0                   0 S vold
audioserver    320     1 10770084  3104 0                   0 S daemon_cl
root           327     2       0      0 0                   0 S [jbd2/vda23-8]
root           328     2       0      0 0                   0 I [ext4-rsv-conver]
root           334     2       0      0 0                   0 S [jbd2/vda25-8]
root           335     2       0      0 0                   0 I [ext4-rsv-conver]
root           339     2       0      0 0                   0 S [jbd2/vda22-8]
root           340     2       0      0 0                   0 I [ext4-rsv-conver]
audioserver    342     1 10976244 11424 0                   0 S avb_streamhandler_app
root           347     2       0      0 0                   0 S [irq/145-atmel_m]
root           356     2       0      0 0                   0 S [irq/146-facepla]
root           371     2       0      0 0                   0 I [tpm_dev_wq]
vendor_eavbmgr 386     1 10877744 10488 0                   0 S eavbmgr
root           387     1 10861576  4940 0                   0 S IPCServer
system         388     1 10845540  5292 0                   0 S android.system.suspend@1.0-service
system         389     1 10789092  5116 0                   0 S android.hardware.atrace@1.0-service
root           390     1 10850984  5380 0                   0 S android.hardware.boot@1.1-service
root           441     2       0      0 0                   0 S [f2fs_flush-259:]
root           442     2       0      0 0                   0 S [f2fs_discard-25]
root           444     2       0      0 0                   0 S [f2fs_gc-259:10]
root           455     2       0      0 0                   0 I [kworker/u9:1-f2fs_post_read_wq]
tombstoned     456     1 10804000  2464 0                   0 S tombstoned
audioserver    508     1 10937856 10128 0                   0 S pulseaudio
statsd         536     1 10867720  5620 0                   0 S statsd
root           537     1 10940528  9884 0                   0 S netd
root           538     1 14053688 183800 0                  0 S zygote64
root           546   537 10789916  3612 0                   0 S iptables-restore
root           547   537 10775580  3512 0                   0 S ip6tables-restore
graphics       554     1 10917732  8928 0                   0 S android.frameworks.automotive.display@1.0-service
media          555     1 10936124  8936 0                   0 S android.frameworks.automotive.mediaPlayer@1.0-service
system         556     1 10798332  3068 0                   0 S android.hidl.allocator@1.0-service
system         557     1 10840608  5076 0                   0 S carpowerpolicyd
media          558     1   23852   6032 0                   0 S android.hardware.cas@1.2-service
system         560     1 10799728  5296 0                   0 S android.hardware.configstore@1.1-service
media          561     1 10829408  8628 0                   0 S android.hardware.drm@1.4-service.clearkey
media          562     1   31436  10184 0                   0 S android.hardware.drm@1.4-service.widevine
system         563     1 10928400  5068 0                   0 S android.hardware.gatekeeper@1.0-service.trusty
system         564     1 10856424  6180 0                   0 S android.hardware.graphics.allocator@4.0-service.minigbm
system         565     1 10862636 12808 0                   0 S android.hardware.graphics.composer.intel@2.3-service
system         566     1 10828620  5488 0                   0 S android.hardware.health@2.1-service
system         567     1 10875564  5948 0                   0 S android.hardware.thermal@2.0-service.intel
system         568     1 10796356  5128 0                   0 S android.hardware.usb@1.0-service
vendor_cald    569     1 10862392 14556 0                   0 S calserviced
root           571     1 10925492 11728 0                   0 S gm_update_engine
